* Player 1 (nb: FFFFFFFF(-1)), weighing 0 bytes, "" () !
It is now cycle 0 || CTD: 1536
It is now cycle 1 || CTD: 1486
It is now cycle 2 || CTD: 1486
It is now cycle 3 || CTD: 1486
It is now cycle 4 || CTD: 1486
It is now cycle 5 || CTD: 1486
It is now cycle 6 || CTD: 1486
It is now cycle 7 || CTD: 1486
It is now cycle 8 || CTD: 1486
It is now cycle 9 || CTD: 1486
It is now cycle 10 || CTD: 1486
It is now cycle 11 || CTD: 1486
It is now cycle 12 || CTD: 1486
It is now cycle 13 || CTD: 1486
It is now cycle 14 || CTD: 1486
It is now cycle 15 || CTD: 1486
It is now cycle 16 || CTD: 1486
It is now cycle 17 || CTD: 1486
It is now cycle 18 || CTD: 1486
It is now cycle 19 || CTD: 1486
It is now cycle 20 || CTD: 1486
It is now cycle 21 || CTD: 1486
It is now cycle 22 || CTD: 1486
It is now cycle 23 || CTD: 1486
It is now cycle 24 || CTD: 1486
It is now cycle 25 || CTD: 1486
It is now cycle 26 || CTD: 1486
It is now cycle 27 || CTD: 1486
It is now cycle 28 || CTD: 1486
It is now cycle 29 || CTD: 1486
It is now cycle 30 || CTD: 1486
It is now cycle 31 || CTD: 1486
It is now cycle 32 || CTD: 1486
It is now cycle 33 || CTD: 1486
It is now cycle 34 || CTD: 1486
It is now cycle 35 || CTD: 1486
It is now cycle 36 || CTD: 1486
It is now cycle 37 || CTD: 1486
It is now cycle 38 || CTD: 1486
It is now cycle 39 || CTD: 1486
It is now cycle 40 || CTD: 1486
It is now cycle 41 || CTD: 1486
It is now cycle 42 || CTD: 1486
It is now cycle 43 || CTD: 1486
It is now cycle 44 || CTD: 1486
It is now cycle 45 || CTD: 1486
It is now cycle 46 || CTD: 1486
It is now cycle 47 || CTD: 1486
It is now cycle 48 || CTD: 1486
It is now cycle 49 || CTD: 1486
It is now cycle 50 || CTD: 1486
It is now cycle 51 || CTD: 1486
It is now cycle 52 || CTD: 1486
It is now cycle 53 || CTD: 1486
It is now cycle 54 || CTD: 1486
It is now cycle 55 || CTD: 1486
It is now cycle 56 || CTD: 1486
It is now cycle 57 || CTD: 1486
It is now cycle 58 || CTD: 1486
It is now cycle 59 || CTD: 1486
It is now cycle 60 || CTD: 1486
It is now cycle 61 || CTD: 1486
It is now cycle 62 || CTD: 1486
It is now cycle 63 || CTD: 1486
It is now cycle 64 || CTD: 1486
It is now cycle 65 || CTD: 1486
It is now cycle 66 || CTD: 1486
It is now cycle 67 || CTD: 1486
It is now cycle 68 || CTD: 1486
It is now cycle 69 || CTD: 1486
It is now cycle 70 || CTD: 1486
It is now cycle 71 || CTD: 1486
It is now cycle 72 || CTD: 1486
It is now cycle 73 || CTD: 1486
It is now cycle 74 || CTD: 1486
It is now cycle 75 || CTD: 1486
It is now cycle 76 || CTD: 1486
It is now cycle 77 || CTD: 1486
It is now cycle 78 || CTD: 1486
It is now cycle 79 || CTD: 1486
It is now cycle 80 || CTD: 1486
It is now cycle 81 || CTD: 1486
It is now cycle 82 || CTD: 1486
It is now cycle 83 || CTD: 1486
It is now cycle 84 || CTD: 1486
It is now cycle 85 || CTD: 1486
It is now cycle 86 || CTD: 1486
It is now cycle 87 || CTD: 1486
It is now cycle 88 || CTD: 1486
It is now cycle 89 || CTD: 1486
It is now cycle 90 || CTD: 1486
It is now cycle 91 || CTD: 1486
It is now cycle 92 || CTD: 1486
It is now cycle 93 || CTD: 1486
It is now cycle 94 || CTD: 1486
It is now cycle 95 || CTD: 1486
It is now cycle 96 || CTD: 1486
It is now cycle 97 || CTD: 1486
It is now cycle 98 || CTD: 1486
It is now cycle 99 || CTD: 1486
It is now cycle 100 || CTD: 1486
It is now cycle 101 || CTD: 1486
It is now cycle 102 || CTD: 1486
It is now cycle 103 || CTD: 1486
It is now cycle 104 || CTD: 1486
It is now cycle 105 || CTD: 1486
It is now cycle 106 || CTD: 1486
It is now cycle 107 || CTD: 1486
It is now cycle 108 || CTD: 1486
It is now cycle 109 || CTD: 1486
It is now cycle 110 || CTD: 1486
It is now cycle 111 || CTD: 1486
It is now cycle 112 || CTD: 1486
It is now cycle 113 || CTD: 1486
It is now cycle 114 || CTD: 1486
It is now cycle 115 || CTD: 1486
It is now cycle 116 || CTD: 1486
It is now cycle 117 || CTD: 1486
It is now cycle 118 || CTD: 1486
It is now cycle 119 || CTD: 1486
It is now cycle 120 || CTD: 1486
It is now cycle 121 || CTD: 1486
It is now cycle 122 || CTD: 1486
It is now cycle 123 || CTD: 1486
It is now cycle 124 || CTD: 1486
It is now cycle 125 || CTD: 1486
It is now cycle 126 || CTD: 1486
It is now cycle 127 || CTD: 1486
It is now cycle 128 || CTD: 1486
It is now cycle 129 || CTD: 1486
It is now cycle 130 || CTD: 1486
It is now cycle 131 || CTD: 1486
It is now cycle 132 || CTD: 1486
It is now cycle 133 || CTD: 1486
It is now cycle 134 || CTD: 1486
It is now cycle 135 || CTD: 1486
It is now cycle 136 || CTD: 1486
It is now cycle 137 || CTD: 1486
It is now cycle 138 || CTD: 1486
It is now cycle 139 || CTD: 1486
It is now cycle 140 || CTD: 1486
It is now cycle 141 || CTD: 1486
It is now cycle 142 || CTD: 1486
It is now cycle 143 || CTD: 1486
It is now cycle 144 || CTD: 1486
It is now cycle 145 || CTD: 1486
It is now cycle 146 || CTD: 1486
It is now cycle 147 || CTD: 1486
It is now cycle 148 || CTD: 1486
It is now cycle 149 || CTD: 1486
It is now cycle 150 || CTD: 1486
It is now cycle 151 || CTD: 1486
It is now cycle 152 || CTD: 1486
It is now cycle 153 || CTD: 1486
It is now cycle 154 || CTD: 1486
It is now cycle 155 || CTD: 1486
It is now cycle 156 || CTD: 1486
It is now cycle 157 || CTD: 1486
It is now cycle 158 || CTD: 1486
It is now cycle 159 || CTD: 1486
It is now cycle 160 || CTD: 1486
It is now cycle 161 || CTD: 1486
It is now cycle 162 || CTD: 1486
It is now cycle 163 || CTD: 1486
It is now cycle 164 || CTD: 1486
It is now cycle 165 || CTD: 1486
It is now cycle 166 || CTD: 1486
It is now cycle 167 || CTD: 1486
It is now cycle 168 || CTD: 1486
It is now cycle 169 || CTD: 1486
It is now cycle 170 || CTD: 1486
It is now cycle 171 || CTD: 1486
It is now cycle 172 || CTD: 1486
It is now cycle 173 || CTD: 1486
It is now cycle 174 || CTD: 1486
It is now cycle 175 || CTD: 1486
It is now cycle 176 || CTD: 1486
It is now cycle 177 || CTD: 1486
It is now cycle 178 || CTD: 1486
It is now cycle 179 || CTD: 1486
It is now cycle 180 || CTD: 1486
It is now cycle 181 || CTD: 1486
It is now cycle 182 || CTD: 1486
It is now cycle 183 || CTD: 1486
It is now cycle 184 || CTD: 1486
It is now cycle 185 || CTD: 1486
It is now cycle 186 || CTD: 1486
It is now cycle 187 || CTD: 1486
It is now cycle 188 || CTD: 1486
It is now cycle 189 || CTD: 1486
It is now cycle 190 || CTD: 1486
It is now cycle 191 || CTD: 1486
It is now cycle 192 || CTD: 1486
It is now cycle 193 || CTD: 1486
It is now cycle 194 || CTD: 1486
It is now cycle 195 || CTD: 1486
It is now cycle 196 || CTD: 1486
It is now cycle 197 || CTD: 1486
It is now cycle 198 || CTD: 1486
It is now cycle 199 || CTD: 1486
It is now cycle 200 || CTD: 1486
It is now cycle 201 || CTD: 1486
It is now cycle 202 || CTD: 1486
It is now cycle 203 || CTD: 1486
It is now cycle 204 || CTD: 1486
It is now cycle 205 || CTD: 1486
It is now cycle 206 || CTD: 1486
It is now cycle 207 || CTD: 1486
It is now cycle 208 || CTD: 1486
It is now cycle 209 || CTD: 1486
It is now cycle 210 || CTD: 1486
It is now cycle 211 || CTD: 1486
It is now cycle 212 || CTD: 1486
It is now cycle 213 || CTD: 1486
It is now cycle 214 || CTD: 1486
It is now cycle 215 || CTD: 1486
It is now cycle 216 || CTD: 1486
It is now cycle 217 || CTD: 1486
It is now cycle 218 || CTD: 1486
It is now cycle 219 || CTD: 1486
It is now cycle 220 || CTD: 1486
It is now cycle 221 || CTD: 1486
It is now cycle 222 || CTD: 1486
It is now cycle 223 || CTD: 1486
It is now cycle 224 || CTD: 1486
It is now cycle 225 || CTD: 1486
It is now cycle 226 || CTD: 1486
It is now cycle 227 || CTD: 1486
It is now cycle 228 || CTD: 1486
It is now cycle 229 || CTD: 1486
It is now cycle 230 || CTD: 1486
It is now cycle 231 || CTD: 1486
It is now cycle 232 || CTD: 1486
It is now cycle 233 || CTD: 1486
It is now cycle 234 || CTD: 1486
It is now cycle 235 || CTD: 1486
It is now cycle 236 || CTD: 1486
It is now cycle 237 || CTD: 1486
It is now cycle 238 || CTD: 1486
It is now cycle 239 || CTD: 1486
It is now cycle 240 || CTD: 1486
It is now cycle 241 || CTD: 1486
It is now cycle 242 || CTD: 1486
It is now cycle 243 || CTD: 1486
It is now cycle 244 || CTD: 1486
It is now cycle 245 || CTD: 1486
It is now cycle 246 || CTD: 1486
It is now cycle 247 || CTD: 1486
It is now cycle 248 || CTD: 1486
It is now cycle 249 || CTD: 1486
It is now cycle 250 || CTD: 1486
It is now cycle 251 || CTD: 1486
It is now cycle 252 || CTD: 1486
